wikidata_qid,imdb_id,tmdb_type,tmdb_id,trakt_type,trakt_id,plex_type,plex_id,appletv_id,rottentomatoes_id,title,year,director_qid,director,duration,tomatometer
,tt0090509,tv,103344,show,189861,show,62602bfa71c4628779a931d8,,,"The Return of Sherlock Holmes",,,,,
,tt12573454,movie,717980,movie,560894,,,,,Sharper,,,,,
,tt1340094,movie,474592,movie,322297,,,,,"The Crow",,,,,
,tt13675832,tv,115678,show,171669,,,,,"As If",,,,,
,tt13935992,movie,791131,movie,626742,,,,,Adrift,,,,,
,tt14127944,movie,800367,movie,635459,,,,,"The Actor",,,,,
,tt14309446,movie,862551,movie,689773,,,,,"Me Time",,,,,
,tt14417718,tv,123192,show,178915,,,,,"The Crowded Room",,,,,
,tt15837458,movie,921353,movie,737744,movie,61878f16c85e65a4807be125,,,"The Wrong Place",,,,,
,tt16418808,tv,203744,show,196180,,,,,Sugar,,,,,
,tt1684562,movie,339851,movie,432650,,,,,"The Fall Guy",,,,,
,tt18115856,movie,937087,movie,751974,,,,,"Fear is the Rider",,,,,
,tt18303004,movie,942245,movie,756651,,,,,"Being Mortal",,,,,
,tt19238142,tv,202597,show,196748,,,,,"Edge of the Unknown with Jimmy Chin",,,,,
,tt19843600,movie,967598,movie,777660,,,,,"The Trashers",,,,,
,tt19864802,movie,969492,movie,779178,,,,,"Land Of Bad",,,,,
,tt19895946,tv,203688,show,196238,,,,,"The Future Of",,,,,
,tt20212786,movie,970947,movie,780513,,,,,"The Shrouds",,,,,
,tt20851874,movie,983406,movie,790625,,,,,"Fourth of July",,,,,
,tt21051790,tv,204082,show,196265,,,,,"Squid Game: The Challenge",,,,,
,tt6111552,tv,71786,show,124355,show,606f08e489b0ad002df8bb9c,,,"Content Cop",,,,,
,tt6722400,movie,945937,movie,759776,,,,,"Fast Charlie",,,,,
,tt7766378,movie,777443,movie,614652,,,,,"The Electric State",,,,,
,tt8174412,movie,583095,movie,431256,,,,,"Funny Pages",,,,,
,tt8323668,movie,843847,movie,674127,movie,5f40d769cae2c600420d9ac6,,,"Jerry & Marge Go Large",,,,,
,tt8773420,tv,95556,show,171737,,,,,Expats,,,,,
,tt9873892,movie,736769,movie,752194,movie,5f40dee458b26e00426ccebf,,,"They Cloned Tyrone",,,,,
Q372,tt0498329,movie,34015,movie,21763,movie,5d77686454c0f0001f307921,,m/1217389-we_live_in_public,"We Live in Public",2009,Q7092172,"Ondi Timoner",90,82
